GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US04025,04025,United States - Arizona - Yavapai County,Yavapai County,44748,1150
0100000US,,United States,0500000US04027,04027,United States - Arizona - Yuma County,Yuma County,40743,1111
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,41371,247
0100000US,,United States,0500000US05001,05001,United States - Arkansas - Arkansas County,Arkansas County,36411,2766
0100000US,,United States,0500000US05003,05003,United States - Arkansas - Ashley County,Ashley County,34263,2352
0100000US,,United States,0500000US05005,05005,United States - Arkansas - Baxter County,Baxter County,35396,2040
0100000US,,United States,0500000US05007,05007,United States - Arkansas - Benton County,Benton County,56239,1291
0100000US,,United States,0500000US05009,05009,United States - Arkansas - Boone County,Boone County,39251,1797
0100000US,,United States,0500000US05011,05011,United States - Arkansas - Bradley County,Bradley County,33701,2360
0100000US,,United States,0500000US05013,05013,United States - Arkansas - Calhoun County,Calhoun County,36899,6334
0100000US,,United States,0500000US05015,05015,United States - Arkansas - Carroll County,Carroll County,36897,2308
0100000US,,United States,0500000US05017,05017,United States - Arkansas - Chicot County,Chicot County,28913,2578
0100000US,,United States,0500000US05019,05019,United States - Arkansas - Clark County,Clark County,35031,2501
0100000US,,United States,0500000US05021,05021,United States - Arkansas - Clay County,Clay County,32552,2465
0100000US,,United States,0500000US05023,05023,United States - Arkansas - Cleburne County,Cleburne County,42905,2785
0100000US,,United States,0500000US05025,05025,United States - Arkansas - Cleveland County,Cleveland County,43158,4010
0100000US,,United States,0500000US05027,05027,United States - Arkansas - Columbia County,Columbia County,36619,3136
0100000US,,United States,0500000US05029,05029,United States - Arkansas - Conway County,Conway County,37732,3753
0100000US,,United States,0500000US05031,05031,United States - Arkansas - Craighead County,Craighead County,42475,1586
0100000US,,United States,0500000US05033,05033,United States - Arkansas - Crawford County,Crawford County,41268,1870
0100000US,,United States,0500000US05035,05035,United States - Arkansas - Crittenden County,Crittenden County,38004,2282
0100000US,,United States,0500000US05037,05037,United States - Arkansas - Cross County,Cross County,38103,3272
0100000US,,United States,0500000US05039,05039,United States - Arkansas - Dallas County,Dallas County,34084,3929
0100000US,,United States,0500000US05041,05041,United States - Arkansas - Desha County,Desha County,27197,2543
0100000US,,United States,0500000US05043,05043,United States - Arkansas - Drew County,Drew County,32819,2479
0100000US,,United States,0500000US05045,05045,United States - Arkansas - Faulkner County,Faulkner County,51223,1885
0100000US,,United States,0500000US05047,05047,United States - Arkansas - Franklin County,Franklin County,39285,1922
0100000US,,United States,0500000US05049,05049,United States - Arkansas - Fulton County,Fulton County,37066,4108
0100000US,,United States,0500000US05051,05051,United States - Arkansas - Garland County,Garland County,38733,1804
0100000US,,United States,0500000US05053,05053,United States - Arkansas - Grant County,Grant County,46171,2233
0100000US,,United States,0500000US05055,05055,United States - Arkansas - Greene County,Greene County,41286,1835
0100000US,,United States,0500000US05057,05057,United States - Arkansas - Hempstead County,Hempstead County,32122,2918
0100000US,,United States,0500000US05059,05059,United States - Arkansas - Hot Spring County,Hot Spring County,40000,2603
0100000US,,United States,0500000US05061,05061,United States - Arkansas - Howard County,Howard County,34229,3163
0100000US,,United States,0500000US05063,05063,United States - Arkansas - Independence County,Independence County,36265,1665
0100000US,,United States,0500000US05065,05065,United States - Arkansas - Izard County,Izard County,32630,2526
0100000US,,United States,0500000US05067,05067,United States - Arkansas - Jackson County,Jackson County,31261,2306
0100000US,,United States,0500000US05069,05069,United States - Arkansas - Jefferson County,Jefferson County,36747,1832
0100000US,,United States,0500000US05071,05071,United States - Arkansas - Johnson County,Johnson County,34139,3029
