GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0500000US10001,10001,United States - Delaware - Kent County,Kent County,50112,1492
0100000US,,United States,0500000US10003,10003,United States - Delaware - New Castle County,New Castle County,61045,1181
0100000US,,United States,0500000US10005,10005,United States - Delaware - Sussex County,Sussex County,48615,1429
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,52187,1024
0100000US,,United States,0500000US11001,11001,United States - District of Columbia - District of Columbia,District of Columbia,52187,1024
0100000US,,United States,0400000US12,12,United States - Florida,Florida,46602,173
0100000US,,United States,0500000US12001,12001,United States - Florida - Alachua County,Alachua County,38243,1555
0100000US,,United States,0500000US12003,12003,United States - Florida - Baker County,Baker County,43458,3670
0100000US,,United States,0500000US12005,12005,United States - Florida - Bay County,Bay County,46106,1342
0100000US,,United States,0500000US12007,12007,United States - Florida - Bradford County,Bradford County,41061,2218
0100000US,,United States,0500000US12009,12009,United States - Florida - Brevard County,Brevard County,47973,1066
0100000US,,United States,0500000US12011,12011,United States - Florida - Broward County,Broward County,51221,445
0100000US,,United States,0500000US12015,12015,United States - Florida - Charlotte County,Charlotte County,44576,1579
0100000US,,United States,0500000US12017,12017,United States - Florida - Citrus County,Citrus County,36100,1248
0100000US,,United States,0500000US12019,12019,United States - Florida - Clay County,Clay County,59792,1738
0100000US,,United States,0500000US12021,12021,United States - Florida - Collier County,Collier County,57166,1595
0100000US,,United States,0500000US12023,12023,United States - Florida - Columbia County,Columbia County,39740,2583
0100000US,,United States,0500000US12027,12027,United States - Florida - DeSoto County,DeSoto County,36825,3929
0100000US,,United States,0500000US12031,12031,United States - Florida - Duval County,Duval County,48034,754
0100000US,,United States,0500000US12033,12033,United States - Florida - Escambia County,Escambia County,42866,1273
0100000US,,United States,0500000US12035,12035,United States - Florida - Flagler County,Flagler County,45486,2016
0100000US,,United States,0500000US12039,12039,United States - Florida - Gadsden County,Gadsden County,35235,2916
0100000US,,United States,0500000US12049,12049,United States - Florida - Hardee County,Hardee County,39497,5499
0100000US,,United States,0500000US12051,12051,United States - Florida - Hendry County,Hendry County,38116,4619
0100000US,,United States,0500000US12053,12053,United States - Florida - Hernando County,Hernando County,41991,1569
0100000US,,United States,0500000US12055,12055,United States - Florida - Highlands County,Highlands County,32903,1418
0100000US,,United States,0500000US12057,12057,United States - Florida - Hillsborough County,Hillsborough County,48647,685
0100000US,,United States,0500000US12061,12061,United States - Florida - Indian River County,Indian River County,46397,1348
0100000US,,United States,0500000US12063,12063,United States - Florida - Jackson County,Jackson County,35015,2026
0100000US,,United States,0500000US12069,12069,United States - Florida - Lake County,Lake County,43443,1186
0100000US,,United States,0500000US12071,12071,United States - Florida - Lee County,Lee County,49742,895
0100000US,,United States,0500000US12073,12073,United States - Florida - Leon County,Leon County,45438,1645
0100000US,,United States,0500000US12075,12075,United States - Florida - Levy County,Levy County,33889,1378
0100000US,,United States,0500000US12081,12081,United States - Florida - Manatee County,Manatee County,47761,1006
0100000US,,United States,0500000US12083,12083,United States - Florida - Marion County,Marion County,39295,1027
0100000US,,United States,0500000US12085,12085,United States - Florida - Martin County,Martin County,52952,1803
0100000US,,United States,0500000US12086,12086,United States - Florida - Miami-Dade County,Miami-Dade County,41943,483
0100000US,,United States,0500000US12087,12087,United States - Florida - Monroe County,Monroe County,55550,2274
0100000US,,United States,0500000US12089,12089,United States - Florida - Nassau County,Nassau County,55604,2384
0100000US,,United States,0500000US12091,12091,United States - Florida - Okaloosa County,Okaloosa County,54999,1588
0100000US,,United States,0500000US12093,12093,United States - Florida - Okeechobee County,Okeechobee County,38139,2802
0100000US,,United States,0500000US12095,12095,United States - Florida - Orange County,Orange County,49768,713
0100000US,,United States,0500000US12097,12097,United States - Florida - Osceola County,Osceola County,46058,1360
0100000US,,United States,0500000US12099,12099,United States - Florida - Palm Beach County,Palm Beach County,52351,678
0100000US,,United States,0500000US12101,12101,United States - Florida - Pasco County,Pasco County,42912,828
